"Former citizenship","Age","1991 Total","1991 Males","1991 Females","1992 Total","1992 Males","1992 Females","1993 Total","1993 Males","1993 Females","1994 Total","1994 Males","1994 Females","1995 Total","1995 Males","1995 Females","1996 Total","1996 Males","1996 Females","1997 Total","1997 Males","1997 Females","1998 Total","1998 Males","1998 Females","1999 Total","1999 Males","1999 Females","2000 Total","2000 Males","2000 Females","2001 Total","2001 Males","2001 Females","2002 Total","2002 Males","2002 Females","2003 Total","2003 Males","2003 Females","2004 Total","2004 Males","2004 Females","2005 Total","2005 Males","2005 Females","2006 Total","2006 Males","2006 Females","2007 Total","2007 Males","2007 Females","2008 Total","2008 Males","2008 Females","2009 Total","2009 Males","2009 Females","2010 Total","2010 Males","2010 Females","2011 Total","2011 Males","2011 Females","2012 Total","2012 Males","2012 Females","2013 Total","2013 Males","2013 Females","2014 Total","2014 Males","2014 Females","2015 Total","2015 Males","2015 Females","2016 Total","2016 Males","2016 Females","2017 Total","2017 Males","2017 Females","2018 Total","2018 Males","2018 Females"
"Montenegro","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Macedonia (FYROM)","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,3,4,3,1,1,0,1,1,0,1,5,4,1,4,2,2,0,0,0,1,1,0,1,1,0,2,1,1,7,2,5,0,0,0,0,0,0,2,0,2,4,1,3
"Kosovo","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,8,4,4,17,7,10,21,10,11,20,7,13,13,9,4,13,8,5,5,2,3,5,4,1,4,2,2
"Serbia","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,33,17,16,107,55,52,76,36,40,27,11,16,34,18,16,27,14,13,21,9,12,7,5,2,15,3,12,13,6,7,5,2,3,2,1,1
"Russia","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,9,3,6,6,2,4,6,3,3,13,5,8,4,0,4,5,2,3,11,5,6,33,13,20,23,7,16,24,5,19,17,6,11,38,15,23,17,6,11,21,5,16,12,6,6,21,5,16,18,5,13,13,3,10,25,8,17,14,6,8,20,6,14,10,3,7
"Former Soviet Union","Total",0,0,0,2,1,1,2,1,1,2,0,2,1,0,1,1,0,1,8,4,4,7,1,6,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ukraine","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,0,0,0,0,0,0,0,4,0,4,1,0,1,2,0,2,4,0,4,18,7,11,6,2,4,9,4,5,13,4,9,18,9,9,18,5,13,15,4,11,10,4,6,21,13,8,18,6,12,12,3,9,17,3,14,12,3,9,11,3,8,7,2,5
"Europe, country not specified","Total",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Countries in former Yugoslavia, unspecified","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,13,7,6,6,3,3,0,0,0,0,0,0,0,0,0,1,0,1
"Yugoslavia (Serbia and Montenegro)","Total",3,1,2,4,3,1,10,8,2,10,5,5,10,6,4,20,11,9,3,1,2,10,8,2,23,12,11,7,4,3,8,5,3,23,16,7,35,18,17,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
