"Quarter","Duration","Number","%"
"2013Q3","6 to 11 months",1300,16.2
"2013Q3","12 months or more",1800,21.8
"2013Q4","Unemployed",8300,100.0
"2013Q4","Already found work",200,2.5
"2013Q4","Less than one month",1700,20.0
"2013Q4","1-2 months",2400,28.3
"2013Q4","3-5 months",1400,16.4
"2013Q4","6 to 11 months",800,9.8
"2013Q4","12 months or more",1900,22.9
"2014Q1","Unemployed",10400,100.0
"2014Q1","Already found work",500,4.3
"2014Q1","Less than one month",2900,28.1
"2014Q1","1-2 months",2400,22.8
"2014Q1","3-5 months",1700,16.1
"2014Q1","6 to 11 months",1400,13.5
"2014Q1","12 months or more",1600,15.2
"2014Q2","Unemployed",11200,100.0
"2014Q2","Already found work",1800,16.3
"2014Q2","Less than one month",2300,20.3
"2014Q2","1-2 months",2100,18.6
"2014Q2","3-5 months",1800,16.0
"2014Q2","6 to 11 months",1500,13.6
"2014Q2","12 months or more",1700,15.1
"2014Q3","Unemployed",7600,100.0
"2014Q3","Already found work",300,4.1
"2014Q3","Less than one month",2500,33.4
"2014Q3","1-2 months",1500,20.4
"2014Q3","3-5 months",900,12.3
"2014Q3","6 to 11 months",1400,18.8
"2014Q3","12 months or more",800,11.0
"2014Q4","Unemployed",7700,100.0
"2014Q4","Already found work",400,4.8
"2014Q4","Less than one month",2100,27.6
"2014Q4","1-2 months",2000,26.0
"2014Q4","3-5 months",1200,15.8
"2014Q4","6 to 11 months",1000,13.3
"2014Q4","12 months or more",1000,12.5
"2015Q1","Unemployed",8000,100.0
"2015Q1","Already found work",500,6.8
"2015Q1","Less than one month",2300,28.7
"2015Q1","1-2 months",2000,24.9
"2015Q1","3-5 months",900,11.0
"2015Q1","6 to 11 months",800,10.2
"2015Q1","12 months or more",1500,18.4
"2015Q2","Unemployed",9900,100.0
"2015Q2","Already found work",1900,19.5
"2015Q2","Less than one month",2600,26.1
"2015Q2","1-2 months",2300,23.0
"2015Q2","3-5 months",1200,12.0
