Year,Month,Citizenship,n_passengers
2003,Feb,Norway,1616
2003,Feb,Poland,
2003,Feb,Russia,
2003,Feb,Singapore,
2003,Feb,Spain,65
2003,Feb,South Korea,
2003,Feb,Switzerland,71
2003,Feb,Sweden,1217
2003,Feb,Taiwan,
2003,Feb,Germany,683
2003,Feb,Other countries,966
2003,Mar,Passenger total,38177
2003,Mar,Iceland,19640
2003,Mar,Foreigners,18537
2003,Mar,Austria,
2003,Mar,Australia / New Zealand,
2003,Mar,U.S.A.,2969
2003,Mar,Belgium,
2003,Mar,U.K.,3812
2003,Mar,Denmark,1532
2003,Mar,Estonia / Latvia / Lithuania,
2003,Mar,Finland,545
2003,Mar,France,1072
2003,Mar,Netherlands,1146
2003,Mar,Hong Kong,
2003,Mar,India,
2003,Mar,Ireland,
2003,Mar,Israel,
2003,Mar,Italy,159
2003,Mar,Japan,259
2003,Mar,Canada,134
2003,Mar,China,
2003,Mar,Norway,2064
2003,Mar,Poland,
2003,Mar,Russia,
2003,Mar,Singapore,
2003,Mar,Spain,105
2003,Mar,South Korea,
2003,Mar,Switzerland,126
2003,Mar,Sweden,2004
2003,Mar,Taiwan,
2003,Mar,Germany,1001
2003,Mar,Other countries,1609
2003,Apr,Passenger total,45955
2003,Apr,Iceland,25490
2003,Apr,Foreigners,20465
2003,Apr,Austria,
2003,Apr,Australia / New Zealand,
2003,Apr,U.S.A.,2838
2003,Apr,Belgium,
2003,Apr,U.K.,5840
2003,Apr,Denmark,1664
2003,Apr,Estonia / Latvia / Lithuania,
2003,Apr,Finland,702
2003,Apr,France,880
2003,Apr,Netherlands,480
2003,Apr,Hong Kong,
2003,Apr,India,
2003,Apr,Ireland,
2003,Apr,Israel,
2003,Apr,Italy,196
2003,Apr,Japan,146
2003,Apr,Canada,185
2003,Apr,China,
2003,Apr,Norway,1982
2003,Apr,Poland,
2003,Apr,Russia,
2003,Apr,Singapore,
2003,Apr,Spain,120
2003,Apr,South Korea,
2003,Apr,Switzerland,91
2003,Apr,Sweden,2227
2003,Apr,Taiwan,
2003,Apr,Germany,1009
2003,Apr,Other countries,2105
2003,May,Passenger total,44693
2003,May,Iceland,24320
2003,May,Foreigners,20373
2003,May,Austria,
2003,May,Australia / New Zealand,
2003,May,U.S.A.,3623
2003,May,Belgium,
2003,May,U.K.,3960
2003,May,Denmark,1549
2003,May,Estonia / Latvia / Lithuania,
2003,May,Finland,736
2003,May,France,967
2003,May,Netherlands,929
2003,May,Hong Kong,
2003,May,India,
2003,May,Ireland,
2003,May,Israel,
2003,May,Italy,222
2003,May,Japan,190
2003,May,Canada,156
2003,May,China,
2003,May,Norway,2031
2003,May,Poland,
2003,May,Russia,
2003,May,Singapore,
2003,May,Spain,303
2003,May,South Korea,
2003,May,Switzerland,142
2003,May,Sweden,2132
2003,May,Taiwan,
2003,May,Germany,1571
2003,May,Other countries,1862
2003,Jun,Passenger total,66846
2003,Jun,Iceland,32333
2003,Jun,Foreigners,34513
2003,Jun,Austria,
2003,Jun,Australia / New Zealand,
2003,Jun,U.S.A.,5943
2003,Jun,Belgium,
2003,Jun,U.K.,4734
2003,Jun,Denmark,2955
2003,Jun,Estonia / Latvia / Lithuania,
2003,Jun,Finland,644
2003,Jun,France,2803
2003,Jun,Netherlands,1083
2003,Jun,Hong Kong,
2003,Jun,India,
2003,Jun,Ireland,
2003,Jun,Israel,
2003,Jun,Italy,748
2003,Jun,Japan,262
2003,Jun,Canada,339
2003,Jun,China,
2003,Jun,Norway,2501
2003,Jun,Poland,
2003,Jun,Russia,
2003,Jun,Singapore,
2003,Jun,Spain,615
2003,Jun,South Korea,
2003,Jun,Switzerland,650
2003,Jun,Sweden,2380
2003,Jun,Taiwan,
2003,Jun,Germany,5142
2003,Jun,Other countries,3714
2003,Jul,Passenger total,87639
2003,Jul,Iceland,35032
2003,Jul,Foreigners,52607
2003,Jul,Austria,
2003,Jul,Australia / New Zealand,
2003,Jul,U.S.A.,6232
2003,Jul,Belgium,
2003,Jul,U.K.,6826
2003,Jul,Denmark,4918
2003,Jul,Estonia / Latvia / Lithuania,
2003,Jul,Finland,845
2003,Jul,France,4870
2003,Jul,Netherlands,1965
2003,Jul,Hong Kong,
2003,Jul,India,
2003,Jul,Ireland,
2003,Jul,Israel,
2003,Jul,Italy,1939
2003,Jul,Japan,526
2003,Jul,Canada,281
2003,Jul,China,
2003,Jul,Norway,2573
2003,Jul,Poland,
2003,Jul,Russia,
2003,Jul,Singapore,
2003,Jul,Spain,1006
2003,Jul,South Korea,
2003,Jul,Switzerland,2095
2003,Jul,Sweden,2739
2003,Jul,Taiwan,
2003,Jul,Germany,9576
2003,Jul,Other countries,6216
2003,Aug,Passenger total,88150
2003,Aug,Iceland,29387
2003,Aug,Foreigners,58763
2003,Aug,Austria,
2003,Aug,Australia / New Zealand,
2003,Aug,U.S.A.,6454
2003,Aug,Belgium,
2003,Aug,U.K.,7270
2003,Aug,Denmark,3156
2003,Aug,Estonia / Latvia / Lithuania,
2003,Aug,Finland,925
2003,Aug,France,5908
2003,Aug,Netherlands,2161
2003,Aug,Hong Kong,
2003,Aug,India,
2003,Aug,Ireland,
2003,Aug,Israel,
2003,Aug,Italy,4255
2003,Aug,Japan,723
2003,Aug,Canada,496
2003,Aug,China,
2003,Aug,Norway,3015
2003,Aug,Poland,
2003,Aug,Russia,
2003,Aug,Singapore,
2003,Aug,Spain,1988
2003,Aug,South Korea,
2003,Aug,Switzerland,2275
2003,Aug,Sweden,3560
2003,Aug,Taiwan,
2003,Aug,Germany,9959
2003,Aug,Other countries,6618
2003,Sep,Passenger total,54228
