"Year","Sex","Age","Rate of individuals (%)","Rate lower bounds (%)","Rate upper bounds (%)","Number of individuals","Number lower bounds","Number upper bounds"
"2012","Total","45-54 years old",5.1,3.7,6.6,2098,1554,2749
"2012","Total","55-64 years old",3.6,2.4,5.2,1231,810,1772
"2012","Total","65 + years old",4.5,3.1,6.3,1726,1179,2411
"2012","Female","Total",7.5,6.5,8.5,11215,9824,12720
"2012","Female","0-15 years old",11.2,8.8,13.8,3761,2980,4649
"2012","Female","16-24 years old",10.5,7.7,13.8,1973,1447,2596
"2012","Female","25-34 years old",10.3,7.5,13.8,2051,1485,2728
"2012","Female","35-44 years old",7.4,5.1,10.4,1485,1010,2076
"2012","Female","45-54 years old",3.2,2.0,4.9,685,425,1030
"2012","Female","55-64 years old",2.2,1.2,3.7,377,199,634
"2012","Female","65 + years old",4.5,2.5,7.2,884,497,1423
"2012","Male","Total",8.4,7.4,9.5,12550,11051,14167
"2012","Male","0-15 years old",10.1,8.0,12.5,3574,2822,4432
"2012","Male","16-24 years old",8.8,6.3,11.7,1772,1279,2365
"2012","Male","25-34 years old",13.2,9.7,17.5,2510,1830,3314
"2012","Male","35-44 years old",8.1,5.6,11.2,1585,1094,2190
"2012","Male","45-54 years old",6.9,4.7,9.7,1413,959,1982
"2012","Male","55-64 years old",5.0,2.9,7.9,855,494,1348
"2012","Male","65 + years old",4.6,2.7,7.2,841,494,1313
"2013","Total","Total",9.3,8.5,10.0,28407,26153,30773
"2013","Total","0-15 years old",12.6,11.0,14.5,8816,7654,10072
"2013","Total","16-24 years old",13.7,11.4,16.3,5493,4573,6508
"2013","Total","25-34 years old",13.5,11.0,16.2,5460,4474,6558
"2013","Total","35-44 years old",9.0,7.0,11.3,3554,2769,4459
"2013","Total","45-54 years old",5.0,3.6,6.6,2067,1500,2753
"2013","Total","55-64 years old",4.1,2.8,5.7,1488,1032,2057
"2013","Total","65 + years old",4.0,2.6,5.7,1529,1011,2192
"2013","Female","Total",8.9,7.9,10.0,13678,12158,15306
"2013","Female","0-15 years old",12.1,9.8,14.7,4172,3377,5065
"2013","Female","16-24 years old",15.8,12.4,19.7,3040,2382,3786
"2013","Female","25-34 years old",14.3,10.9,18.2,2898,2205,3697
"2013","Female","35-44 years old",8.5,6.0,11.4,1657,1182,2231
"2013","Female","45-54 years old",2.9,1.8,4.4,619,381,937
"2013","Female","55-64 years old",2.7,1.5,4.5,488,265,809
"2013","Female","65 + years old",4.0,2.2,6.4,804,447,1305
"2013","Male","Total",9.6,8.6,10.8,14729,13097,16478
"2013","Male","0-15 years old",13.2,10.9,15.8,4644,3823,5556
"2013","Male","16-24 years old",11.8,8.9,15.3,2453,1840,3169
"2013","Male","25-34 years old",12.7,9.4,16.6,2562,1892,3350
"2013","Male","35-44 years old",9.5,6.5,13.2,1897,1303,2630
"2013","Male","45-54 years old",7.1,4.7,10.2,1448,957,2068
"2013","Male","55-64 years old",5.5,3.4,8.2,1000,625,1492
"2013","Male","65 + years old",3.9,2.1,6.6,725,389,1207
"2014","Total","Total",7.9,7.2,8.6,24444,22255,26759
"2014","Total","0-15 years old",10.2,8.7,11.9,7166,6091,8345
"2014","Total","16-24 years old",9.0,7.0,11.4,3664,2846,4608
"2014","Total","25-34 years old",9.2,7.1,11.6,3810,2932,4830
"2014","Total","35-44 years old",7.9,6.0,10.0,3141,2403,4005
"2014","Total","45-54 years old",6.3,4.7,8.2,2623,1948,3428
"2014","Total","55-64 years old",3.5,2.3,5.0,1283,835,1863
"2014","Total","65 + years old",6.9,5.0,9.1,2757,2020,3639
"2014","Female","Total",7.7,6.7,8.7,11882,10415,13469
"2014","Female","0-15 years old",10.2,8.2,12.6,3512,2803,4318
"2014","Female","16-24 years old",9.6,6.7,13.2,1873,1298,2578
"2014","Female","25-34 years old",10.6,7.5,14.2,2134,1522,2871
"2014","Female","35-44 years old",6.7,4.6,9.3,1350,924,1880
"2014","Female","45-54 years old",4.4,2.8,6.5,935,590,1388
"2014","Female","55-64 years old",2.7,1.4,4.7,499,252,864
"2014","Female","65 + years old",7.4,4.8,10.7,1578,1028,2281
"2014","Male","Total",8.1,7.0,9.2,12562,10972,14284
"2014","Male","0-15 years old",10.2,8.0,12.7,3653,2874,4545
"2014","Male","16-24 years old",8.5,5.9,11.7,1790,1246,2457
"2014","Male","25-34 years old",7.8,5.1,11.4,1676,1087,2427
"2014","Male","35-44 years old",9.0,6.1,12.6,1791,1218,2502
"2014","Male","45-54 years old",8.3,5.6,11.7,1688,1139,2374
"2014","Male","55-64 years old",4.2,2.4,6.8,785,439,1268
"2014","Male","65 + years old",6.3,3.9,9.4,1178,732,1763
"2015","Total","Total",9.2,8.4,10.0,29027,26557,31629
"2015","Total","0-15 years old",11.7,10.0,13.5,8243,7076,9513
"2015","Total","16-24 years old",12.2,9.6,15.1,4912,3862,6111
"2015","Total","25-34 years old",14.9,12.1,17.9,6269,5121,7545
"2015","Total","35-44 years old",7.4,5.6,9.6,3049,2299,3932
"2015","Total","45-54 years old",5.0,3.6,6.7,2083,1503,2786
"2015","Total","55-64 years old",5.3,3.7,7.1,1943,1380,2631
"2015","Total","65 + years old",5.8,4.2,7.8,2529,1823,3385
"2015","Female","Total",9.1,8.0,10.2,14325,12638,16139
"2015","Female","0-15 years old",11.6,9.3,14.2,4018,3222,4918
"2015","Female","16-24 years old",12.3,8.7,16.6,2390,1691,3229
"2015","Female","25-34 years old",17.1,13.1,21.7,3488,2665,4428
"2015","Female","35-44 years old",6.5,4.4,9.1,1359,924,1903
"2015","Female","45-54 years old",3.4,2.1,5.1,720,453,1072
"2015","Female","55-64 years old",4.0,2.2,6.5,765,424,1245
"2015","Female","65 + years old",7.1,4.7,10.2,1585,1047,2266
"2015","Male","Total",9.3,8.2,10.5,14702,12935,16606
"2015","Male","0-15 years old",11.7,9.5,14.3,4225,3401,5153
"2015","Male","16-24 years old",12.0,8.5,16.3,2523,1778,3421
"2015","Male","25-34 years old",12.8,9.3,16.9,2781,2021,3682
"2015","Male","35-44 years old",8.3,5.5,11.9,1690,1112,2419
"2015","Male","45-54 years old",6.7,4.3,9.7,1363,875,1990
"2015","Male","55-64 years old",6.6,4.3,9.6,1177,763,1708
"2015","Male","65 + years old",4.5,2.5,7.2,943,533,1513
"2016","Total","Total",8.8,8.0,9.6,28410,25889,31073
"2016","Total","0-15 years old",11.0,9.4,12.7,7673,6561,8887
"2016","Total","16-24 years old",11.1,8.5,14.0,4528,3481,5739
"2016","Total","25-34 years old",13.6,10.9,16.6,6157,4948,7516
"2016","Total","35-44 years old",7.6,5.8,9.8,3308,2509,4247
"2016","Total","45-54 years old",5.5,3.9,7.4,2281,1609,3106
"2016","Total","55-64 years old",4.6,3.2,6.4,1786,1242,2460
